,original,lemma,Part of Speech
88,animals,animal,NOUN
89,that,that,ADP
90,they,-PRON-,PRON
91,can,can,VERB
92,sense,sense,VERB
93,and,and,CCONJ
94,avoid,avoid,VERB
95,dangerous,dangerous,ADJ
96,[,[,PUNCT
97,things,thing,NOUN
98,],],PUNCT
99,that,that,ADP
100,we,-PRON-,PRON
101,[,[,PUNCT
102,think,think,VERB
103,of,of,ADP
104,],],PUNCT
105,as,as,ADV
106,painful,painful,ADJ
107,.,.,PUNCT
108,"""","""",PUNCT
109,He,-PRON-,PRON
110,added,add,VERB
111,:,:,PUNCT
112,"""","""",PUNCT
113,We,-PRON-,PRON
114,knew,know,VERB
115,that,that,ADP
116,insects,insect,NOUN
117,could,could,VERB
118,sense,sense,VERB
119,',',PUNCT
120,pain,pain,NOUN
121,',',PUNCT
122,but,but,CCONJ
123,what,what,NOUN
124,we,-PRON-,PRON
125,did,do,VERB
126,n't,not,ADV
127,know,know,VERB
128,is,be,VERB
129,that,that,ADP
130,an,an,DET
131,injury,injury,NOUN
132,could,could,VERB
133,lead,lead,VERB
134,to,to,ADP
135,long,long,ADV
136,-,-,PUNCT
137,lasting,last,VERB
138,hyper,hyper,ADJ
139,-,-,PUNCT
140,sensitivity,sensitivity,NOUN
141,...,...,PUNCT
142,in,in,ADP
143,a,a,DET
144,similar,similar,ADJ
145,way,way,NOUN
146,to,to,ADP
147,human,human,ADJ
148,patients,patient,NOUN
149,',',PART
150,experiences,experience,NOUN
151,.,.,PUNCT
152,"""","""",PUNCT
153,"
","
",SPACE
154,The,the,DET
155,researchers,researcher,NOUN
156,looked,look,VERB
157,at,at,ADP
158,how,how,ADV
159,fruit,fruit,NOUN
160,flies,fly,VERB
161,reacted,react,VERB
162,to,to,ADP
163,injuries,injury,NOUN
164,.,.,PUNCT
165,The,the,DET
166,scientists,scientist,NOUN
167,damaged,damage,VERB
168,one,one,NUM
169,leg,leg,NOUN
170,on,on,ADP
171,the,the,DET
172,flies,fly,NOUN
173,and,and,CCONJ
174,allowed,allow,VERB
175,the,the,DET
176,leg,leg,NOUN
177,to,to,PART
178,heal,heal,VERB
179,.,.,PUNCT
180,They,-PRON-,PRON
181,found,find,VERB
182,that,that,ADP
183,after,after,ADP
184,the,the,DET
185,leg,leg,NOUN
186,fully,fully,ADV
187,healed,heal,VERB
188,",",",",PUNCT
189,the,the,DET
190,flies,fly,NOUN
191,became,become,VERB
192,more,more,ADV
193,sensitive,sensitive,ADJ
194,and,and,CCONJ
195,tried,try,VERB
196,harder,harder,ADV
197,to,to,PART
198,protect,protect,VERB
199,their,-PRON-,ADJ
200,legs,leg,NOUN
201,.,.,PUNCT
202,Professor,professor,PROPN
203,Neely,neely,PROPN
204,said,say,VERB
205,the,the,DET
206,pain,pain,NOUN
207,the,the,DET
208,flies,fly,NOUN
209,felt,feel,VERB
210,stayed,stay,VERB
211,in,in,ADP
212,their,-PRON-,ADJ
213,memory,memory,NOUN
214,and,and,CCONJ
215,this,this,DET
216,changed,change,VERB
217,their,-PRON-,ADJ
218,behaviour,behaviour,NOUN
219,.,.,PUNCT
220,He,-PRON-,PRON
221,said,say,VERB
222,:,:,PUNCT
223,"""","""",PUNCT
224,After,after,ADP
225,the,the,DET
226,[,[,PUNCT
227,insect,insect,NOUN
228,],],PUNCT
229,is,be,VERB
230,hurt,hurt,VERB
231,once,once,ADV
232,badly,badly,ADV
233,",",",",PUNCT
234,they,-PRON-,PRON
235,are,be,VERB
236,hypersensitive,hypersensitive,ADJ
237,and,and,CCONJ
238,try,try,VERB
239,to,to,PART
240,protect,protect,VERB
241,themselves,-PRON-,PRON
242,for,for,ADP
243,the,the,DET
244,rest,rest,NOUN
245,of,of,ADP
246,their,-PRON-,ADJ
247,lives,life,NOUN
248,.,.,PUNCT
249,"""","""",PUNCT
250,Neely,neely,ADV
251,says,say,VERB
252,he,-PRON-,PRON
253,hopes,hop,VERB
254,to,to,PART
255,carry,carry,VERB
256,out,out,PART
257,more,more,ADJ
258,research,research,NOUN
259,to,to,PART
260,better,better,ADV
261,understand,understand,VERB
262,how,how,ADV
263,humans,human,NOUN
264,feel,feel,VERB
265,pain,pain,NOUN
266,.,.,PUNCT
267,He,-PRON-,PRON
268,said,say,VERB
269,:,:,PUNCT
270,"""","""",PUNCT
271,We,-PRON-,PRON
272,are,be,VERB
273,focused,focus,VERB
274,on,on,ADP
275,making,make,VERB
276,new,new,ADJ
277,stem,stem,NOUN
278,cell,cell,NOUN
279,therapies,therapy,NOUN
280,or,or,CCONJ
281,drugs,drug,NOUN
282,that,that,ADJ
283,target,target,VERB
284,the,the,DET
285,underlying,underlying,ADJ
286,cause,because,NOUN
287,and,and,CCONJ
288,stop,stop,VERB
289,pain,pain,NOUN
290,for,for,ADP
291,good,good,NOUN
292,.,.,PUNCT
293,"""","""",PUNCT
